tau_high,scenario,passed,fail_years_last10,min_repl_low,min_repl_mid,min_pool,max_state_loan,final_state_loan
0.01,base_1p7,0,10,0.6517292560271596,0.6620614223256697,0.0,650682631673.7128,650682631673.7128
0.01,low_1p0,0,10,0.4904976404835356,0.5113454128289125,0.0,549806790623.7373,549806790623.7373
0.01,hard_0p5,0,10,0.4113479480138674,0.4301175429815177,0.0,493019085516.6057,493019085516.6057
0.01,flat_0p0,0,10,0.3475702183940804,0.3634683910143934,0.0,444045024560.0,444045024560.0
0.0125,base_1p7,0,9,0.6630126852151313,0.6632905731001433,0.0,650682631673.7128,650682631673.7128
0.0125,low_1p0,0,10,0.4975190465337329,0.5139452446746722,0.0,549806790623.7373,549806790623.7373
0.0125,hard_0p5,0,10,0.41755302949742507,0.43296241990181744,0.0,493019085516.6057,493019085516.6057
0.0125,flat_0p0,0,10,0.3533258802106994,0.36643723484484525,0.0,444045024560.0,444045024560.0
0.015,base_1p7,0,7,0.674296114403103,0.6645197238746168,0.0,650682631673.7128,650682631673.7128
0.015,low_1p0,0,10,0.5045404525839302,0.5165450765204318,0.0,549806790623.7373,549806790623.7373
0.015,hard_0p5,0,10,0.42375811098098265,0.4358072968221171,0.0,493019085516.6057,493019085516.6057
0.015,flat_0p0,0,10,0.3590815420273183,0.3694060786752971,0.0,444045024560.0,444045024560.0
0.0175,base_1p7,0,4,0.6855795435910748,0.6657488746490902,0.0,650682631673.7128,650682631673.7128
0.0175,low_1p0,0,10,0.5115618586341276,0.5191449083661913,0.0,549806790623.7373,549806790623.7373
0.0175,hard_0p5,0,10,0.4299631924645403,0.43865217374241683,0.0,493019085516.6057,493019085516.6057
0.0175,flat_0p0,0,10,0.3648372038439372,0.37237492250574894,0.0,444045024560.0,444045024560.0
0.02,base_1p7,0,1,0.6980841722125273,0.6671110557465659,0.0,650682631673.7128,650682631673.7128
0.02,low_1p0,0,10,0.518583264684325,0.5217447402119509,0.0,549806790623.7373,549806790623.7373
0.02,hard_0p5,0,10,0.43616827394809793,0.44149705066271655,0.0,493019085516.6057,493019085516.6057
0.02,flat_0p0,0,10,0.3705928656605561,0.3753437663362008,0.0,444045024560.0,444045024560.0
0.0225,base_1p7,1,0,1.0,0.7,0.0,576974221759.1498,576974221759.1498
0.0225,low_1p0,0,10,0.5256046707345223,0.5243445720577105,0.0,549806790623.7373,549806790623.7373
0.0225,hard_0p5,0,10,0.4423733554316555,0.4443419275830162,0.0,493019085516.6057,493019085516.6057
0.0225,flat_0p0,0,10,0.3763485274771751,0.3783126101666527,0.0,444045024560.0,444045024560.0
0.025,base_1p7,1,0,1.0,0.7,0.0,461533468570.2639,461533468570.2639
0.025,low_1p0,0,10,0.5326260767847197,0.5269444039034701,0.0,549806790623.7373,549806790623.7373
0.025,hard_0p5,0,10,0.44857843691521315,0.44718680450331594,0.0,493019085516.6057,493019085516.6057
0.025,flat_0p0,0,10,0.382104189293794,0.3812814539971045,0.0,444045024560.0,444045024560.0
0.0275,base_1p7,1,0,1.0,0.7,0.0,341306777931.2968,341306777931.2968
0.0275,low_1p0,0,10,0.539647482834917,0.5295442357492297,0.0,549806790623.7373,549806790623.7373
0.0275,hard_0p5,0,10,0.4547835183987707,0.45003168142361566,0.0,493019085516.6057,493019085516.6057
0.0275,flat_0p0,0,10,0.3878598511104129,0.3842502978275564,0.0,444045024560.0,444045024560.0
0.03,base_1p7,1,0,1.0,0.7,0.0,215019139187.9096,215019139187.9096
0.03,low_1p0,0,10,0.5466688888851144,0.5321440675949892,0.0,549806790623.7373,549806790623.7373
0.03,hard_0p5,0,10,0.4609885998823283,0.45287655834391544,0.0,493019085516.6057,493019085516.6057
0.03,flat_0p0,0,10,0.3936155129270318,0.38721914165800825,0.0,444045024560.0,444045024560.0
0.0325,base_1p7,1,0,1.0,0.7,0.0,81134658797.88533,81134658797.88533
0.0325,low_1p0,0,10,0.5536902949353117,0.534743899440749,0.0,549806790623.7373,549806790623.7373
0.0325,hard_0p5,0,10,0.4671936813658859,0.45572143526421516,0.0,493019085516.6057,493019085516.6057
0.0325,flat_0p0,0,10,0.3993711747436508,0.39018798548846007,0.0,444045024560.0,444045024560.0
0.035,base_1p7,1,0,1.0,0.7,61111532226.63752,0.0,0.0
0.035,low_1p0,0,10,0.5607117009855092,0.5373437312865085,0.0,549806790623.7373,549806790623.7373
0.035,hard_0p5,0,10,0.47339876284944354,0.4585663121845148,0.0,493019085516.6057,493019085516.6057
0.035,flat_0p0,0,10,0.4051268365602697,0.393156829318912,0.0,444045024560.0,444045024560.0
0.0375,base_1p7,1,0,1.0,0.7,204549822333.03833,0.0,0.0
0.0375,low_1p0,0,10,0.5677331070357065,0.5399435631322681,0.0,549806790623.7373,549806790623.7373
0.0375,hard_0p5,0,10,0.47960384433300113,0.46141118910481455,0.0,493019085516.6057,493019085516.6057
0.0375,flat_0p0,0,10,0.4108824983768886,0.3961256731493638,0.0,444045024560.0,444045024560.0
0.04,base_1p7,1,0,1.0,0.7,347988112439.4389,0.0,0.0
0.04,low_1p0,0,10,0.5747545130859038,0.5425433949780276,0.0,549806790623.7373,549806790623.7373
0.04,hard_0p5,0,10,0.48580892581655877,0.46425606602511427,0.0,493019085516.6057,493019085516.6057
